ark_id,title,artist_name,category_name
cl010115621,Astrolabe planisphérique,'Abd al-A'imma,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010114121,Coupe ronde : La Vierge avec l'Enfant Jésus et saint Jean Baptiste,« Peintre in Casteldurante »,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010109132,"Coupe ronde : l'Enlèvement de Ganymède , armoiries de la famille Cinaglia de Cortona","« Peintre in Casteldurante » , Santi, Raffaello, dit Raphaël",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010115537,Coupe ronde sur pied bas : Apollon et Marsyas,« Peintre in Casteldurante »,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010109095,Plaque : l'Adoration des bergers,Aachen, Hans von,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010112870,Marche d'autel de la chapelle du château de la Bâtie d'Urfé (Loire),Abaquesne, Masséot,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010113579,Albarello : profil d'homme,Abaquesne, Masséot,Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010365627,La reine Artémise s'apprêtant à avaler les cendres de son époux Mausole (?),"Abate, Nicolò dell' , Italie",Département des Peintures
cl010063540,Moïse sauvé des eaux,"Abate, Nicolò dell' , Italie",Département des Peintures
cl010062293,La Continence de Scipion,"Abate, Nicolò dell' , Italie",Département des Peintures
cl010065014,L'Enlèvement de Proserpine,"Abate, Nicolò dell' , Italie",Département des Peintures
cl010062470,"Plafond : L'Égypte sauvée par Joseph. Voussures : quatre scènes de la vie de Joseph peintes en trompe-l'oeil de bas-relief en bronze (Joseph gardant les troupeaux , Joseph vendu par ses frères , Joseph expliquant le songe de Pharaon , Joseph élevé au gouvernement de l'Égypte) cantonnées de seize allégories des coudées du Nil tenant des guirlandes de fruits.","Abel de Pujol, Alexandre-Denis , France",Département des Peintures
cl010062496,Décors de panneaux de boiserie en grisaille représentant quatorze médaillons d'hommes célèbres de la Renaissance,"Abel de Pujol, Alexandre-Denis , France",Département des Peintures
cl010498041,Décors de panneaux de boiserie en grisaille représentant des scènes de la vie civile égyptienne antique,"Abel de Pujol, Alexandre-Denis , France",Département des Peintures
cl010091950,La Poésie,"Adam, Lambert-Sigisbert , France",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010091951,Neptune calmant les flots irrités,"Adam, Lambert-Sigisbert , France",Département des Sculptures du Moyen Age, de la Renaissance et des temps modernes
cl010100416,Chenêt au triton, d'une paire (avec OA 9515),"Adam, Lambert-Sigisbert , Moreau Antoine ?",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
cl010110126,Chenet au triton, d'une paire (avec OA 9516),"Adam, Lambert-Sigisbert , Moreau Antoine ?",Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes
